P ,CN,time of concentration, unit peak discharge,Ia/P
6,40,0.15895269,421.867468,0.5
6,40,0.13938483,453.956611,0.5
6,40,0.119143329,501.6840004,0.5
6,40,0.100732479,547.0882547,0.5
6,40,0.179294028,399.9639442,0.5
6,40,0.196419852,376.6789049,0.5
6,40,0.219143686,355.9336078,0.5
6,40,0.238330233,341.981517,0.5
6,40,0.257311766,326.3937668,0.5
6,40,0.278820591,316.7503363,0.5
6,40,0.298838004,300.3045809,0.5
6,40,0.33585277,281.8805905,0.5
6,40,0.39291154,262.8294575,0.5
6,40,0.449709351,242.6282211,0.5
6,40,0.496273566,230.7987016,0.5
6,40,0.547659174,220.2787734,0.5
6,40,0.64070199,202.671501,0.5
6,40,0.699344138,192.7901011,0.5
6,40,0.791723825,181.5662766,0.5
6,40,0.883318441,170.9958791,0.5
6,40,0.989112555,161.0408673,0.5
6,40,1.136233363,151.1608469,0.5
6,40,1.300482975,140.9445159,0.5
6,40,1.779902556,120.1109863,0.5
6,40,1.499378672,131.8573337,0.5
6,40,1.985819676,113.4959674,0.5
6,40,2.183454768,109.047087,0.5
6,40,2.48998367,102.0164427,0.5
6,40,2.767931845,95.43905935,0.5
6,40,3.133560057,91.088896,0.5
6,40,3.470661248,85.50049991,0.5
6,40,3.972365628,79.98798584,0.5
6,40,4.497092761,75.08064184,0.5
6,40,4.944659391,71.42002926,0.5
6,40,5.476590829,67.93789257,0.5
6,40,6.021640582,65.49270824,0.5
6,40,6.501227112,62.71614368,0.5
6,40,6.942589506,61.06632935,0.5
6,40,7.413915591,58.86846266,0.5
6,40,8.004388238,56.56090271,0.5
6,40,8.610412618,55.07299169,0.5
6,40,9.228578329,53.26804878,0.5
6,40,9.783433186,51.52224471,0.5
6,43,0.159533749,550.7464934,0.45
6,43,0.138371266,594.6169576,0.45
6,43,0.119578884,646.2747521,0.45
6,43,0.100732479,700.0836165,0.45
6,43,0.178640937,516.9577167,0.45
6,43,0.19713794,493.3944323,0.45
6,43,0.217550175,472.4770384,0.45
6,43,0.235735387,447.9459143,0.45
